IP	2017-11-02	2018-03-16	1.27	1.189	6.8
HSY	2017-11-02	2018-03-16	1.03	1.071	-3.8
MO	2017-11-02	2018-03-16	0.91	0.802	13.5
CME	2017-11-02	2018-03-16	1.12	1.095	2.3
COP	2017-11-02	2018-03-16	0.45	0.439	2.5
MMC	2017-11-02	2018-03-16	1.05	0.944	11.2
UPS	2017-11-02	2018-03-16	1.67	1.662	0.5
MSCI	2017-11-02	2018-03-16	1.15	0.998	15.2
BAX	2017-11-02	2018-03-16	0.64	0.587	9
TWX	2017-11-02	2018-03-16	2.66	1.439	84.9
MA	2017-11-02	2018-03-16	1.14	1.12	1.8
AMGN	2017-11-02	2018-03-16	2.89	3.034	-4.7
AMZN	2017-11-02	2018-03-16	2.15	1.834	17.2
GOOGL	2017-11-02	2018-03-16	9.7	10.031	-3.3
MAT	2017-11-02	2018-03-16	-0.72	0.162	-544.4
FBHS	2017-11-02	2018-03-16	0.8	0.799	0.1
XL	2017-11-02	2018-03-16	0.45	0.357	26.1
MSI	2017-11-02	2018-03-16	2.1	2.036	3.1
EW	2017-11-02	2018-03-16	0.94	0.91	3.3
AIV	2017-11-02	2018-03-16	0.63	0.631	-0.2
EMN	2017-11-02	2018-03-16	1.62	1.059	53
WY	2017-11-03	2018-03-19	0.31	0.354	-12.4
AON	2017-11-03	2018-03-19	2.34	2.347	-0.3
LYB	2017-11-03	2018-03-19	2.73	2.546	7.3
MRK	2017-11-03	2018-03-19	0.98	0.935	4.8
ROP	2017-11-03	2018-03-19	2.7	2.608	3.5
PSX	2017-11-03	2018-03-19	1.07	0.877	22
CHTR	2017-11-03	2018-03-19	0.77	0.843	-8.5
XOM	2017-11-03	2018-03-19	0.88	1.03	-14.6
CVX	2017-11-03	2018-03-19	0.67	1.223	-45.1
BMY	2017-11-06	2018-03-20	0.68	0.672	1.2
CHD	2017-11-06	2018-03-20	0.52	0.501	4.4
HES	2017-11-06	2018-03-20	-1.01	-0.903	-11.8
ARNC	2017-11-06	2018-03-20	0.31	0.256	21.1
LEG	2017-11-06	2018-03-20	0.59	0.611	-3.4
MAC	2017-11-06	2018-03-20	1.03	1.138	-9.5
RE	2017-11-06	2018-03-20	13.48	5.29	154.8
NOV	2017-11-06	2018-03-20	-0.04	-0.04	0
CNC	2017-11-07	2018-03-21	0.97	0.929	4.4
IT	2017-11-07	2018-03-21	1.17	1.32	-11.4
LH	2017-11-07	2018-03-21	2.45	2.377	3.1
AGN	2017-11-07	2018-03-21	4.86	4.739	2.6
ADM	2017-11-07	2018-03-21	0.82	0.7	17.1
FIS	2017-11-07	2018-03-21	1.36	1.344	1.2
SPGI	2017-11-07	2018-03-21	1.85	1.613	14.7
GM	2017-11-07	2018-03-21	1.65	1.377	19.8
CMI	2017-11-07	2018-03-21	3.03	2.675	13.3
GILD	2017-11-07	2018-03-21	1.78	1.674	6.3
AKAM	2017-11-07	2018-03-21	0.69	0.629	9.7
CERN	2017-11-07	2018-03-21	0.58	0.611	-5.1
PXD	2017-11-07	2018-03-21	1.22	0.86	41.9
CMG	2017-11-07	2018-03-21	1.34	1.325	1.5
UDR	2017-11-07	2018-03-21	0.48	0.479	0.2
APC	2017-11-07	2018-03-21	0.18	0.034	429.4
CTSH	2017-11-08	2018-03-22	1.03	0.966	6.6
BLL	2017-11-08	2018-03-22	0.6	0.518	15.8
XEL	2017-11-08	2018-03-22	0.42	0.426	-1.4
HUM	2017-11-08	2018-03-22	2.06	2	3
HAS	2017-11-08	2018-03-22	2.3	1.811	27
GGP	2017-11-08	2018-03-22	0.48	0.463	3.7
EXC	2017-11-08	2018-03-22	0.55	0.601	-8.5
ICE	2017-11-08	2018-03-22	0.73	0.72	1.4
FISV	2017-11-08	2018-03-22	0.71	0.69	2.2
CINF	2017-11-08	2018-03-22	0.93	0.862	7.9
ESS	2017-11-08	2018-03-22	3.01	3	0.3
PRU	2017-11-08	2018-03-22	2.69	2.641	1.9
ALL	2017-11-08	2018-03-22	2.09	1.497	39.6
ORLY	2017-11-08	2018-03-22	2.9	2.776	4.5
TMK	2017-11-08	2018-03-22	1.24	1.227	1.1
WLTW	2017-11-09	2018-03-23	2.21	2.1	5.2
NLSN	2017-11-09	2018-03-23	0.61	0.808	-24.9
ALXN	2017-11-09	2018-03-23	1.48	1.275	16.1
REGN	2017-11-09	2018-03-23	5.23	4.575	14.3
SNA	2017-11-09	2018-03-23	2.69	2.655	1.3
BWA	2017-11-09	2018-03-23	1.07	1.01	5.9
CVS	2017-11-09	2018-03-23	1.92	1.886	1.8
CBRE	2017-11-09	2018-03-23	0.99	0.925	7
SEE	2017-11-09	2018-03-23	0.58	0.576	0.7
PM	2017-11-09	2018-03-23	1.31	1.351	-3
YUM	2017-11-09	2018-03-23	0.96	0.795	20.8
MAS	2017-11-09	2018-03-23	0.44	0.435	1.1
GT	2017-11-09	2018-03-23	0.99	0.783	26.4
HBI	2017-11-09	2018-03-23	0.52	0.523	-0.6
K	2017-11-09	2018-03-23	0.96	0.959	0.1
RSG	2017-11-09	2018-03-23	0.61	0.57	7
VRSN	2017-11-09	2018-03-23	0.96	0.97	-1
MHK	2017-11-09	2018-03-23	3.42	3.321	3
EXPE	2017-11-09	2018-03-23	0.84	1.151	-27
FTV	2017-11-09	2018-03-23	0.82	0.784	4.6
ATVI	2017-11-09	2018-03-23	0.94	0.925	1.6
REG	2017-11-09	2018-03-23	0.92	0.916	0.4
HIG	2017-11-09	2018-03-23	0.81	0.74	9.5
MTD	2017-11-09	2018-03-23	5.97	5.93	0.7
AIZ	2017-11-09	2018-03-23	1.84	1.575	16.8
AIG	2017-11-09	2018-03-23	0.57	0.714	-20.2
MCO	2017-11-10	2018-03-26	1.51	1.48	2
VTR	2017-11-10	2018-03-26	1.03	1.026	0.4
CBOE	2017-11-10	2018-03-26	0.87	0.877	-0.8
PCG	2017-11-10	2018-03-26	0.63	0.682	-7.6
L	2017-11-13	2018-03-27	0.22	0.71	-69.4
BHF	2017-11-13	2018-03-27	0.37	2.118	-82.5
FMC	2017-11-13	2018-03-27	1.1	1.046	5.2
VNO	2017-11-13	2018-03-27	0.8	0.763	4.8
PEP	2017-11-14	2018-03-28	1.31	1.304	0.5
MLM	2017-11-14	2018-03-28	1.93	1.468	31.2
UAA	2017-11-14	2018-03-28	0	0.003	-100
HCP	2017-11-14	2018-03-28	0.48	0.471	1.9
DVA	2017-11-14	2018-03-28	0.92	0.923	-0.3
WU	2017-11-14	2018-03-28	0.41	0.45	-8.9
MET	2017-11-14	2018-03-28	0.64	0.846	-24.3
FRT	2017-11-14	2018-03-28	1.3	1.465	-11.3
OXY	2017-11-14	2018-03-28	0.41	0.403	1.7
HLT	2017-11-15	2018-03-29	0.54	0.448	20.5
WYN	2017-11-15	2018-03-29	1.47	1.349	9
TAP	2017-11-15	2018-03-29	0.62	0.568	9.2
CMS	2017-11-15	2018-03-29	0.51	0.514	-0.8
IQV	2017-11-15	2018-03-29	1.4	1.344	4.2
IPG	2017-11-15	2018-03-29	0.79	0.77	2.6
FLIR	2017-11-15	2018-03-29	0.58	0.552	5.1
DPS	2017-11-15	2018-03-29	1.34	1.159	15.9
TRIP	2017-11-15	2018-03-29	0.06	0.14	-57.1
EQIX	2017-11-15	2018-03-29	3.61	3.87	-6.7
WMB	2017-11-15	2018-03-29	0.2	0.206	-2.9
XEC	2017-11-15	2018-03-29	1.47	1.401	4.9
IFF	2017-11-15	2018-03-29	1.4	1.308	7
CF	2017-11-15	2018-03-29	-0.02	-0.071	71.8
CTL	2017-11-15	2018-03-29	0.18	0.292	-38.4
MRO	2017-11-15	2018-03-29	0.07	0.026	169.2
MAR	2017-11-15	2018-03-29	1.12	1.003	11.7
EQT	2017-11-16	2018-04-02	0.76	0.233	226.2
OMC	2017-11-16	2018-04-02	1.55	1.54	0.6
GPN	2017-11-16	2018-04-02	1.07	1.033	3.6
INCY	2017-11-16	2018-04-02	-0.71	-0.484	-46.7
ZTS	2017-11-16	2018-04-02	0.69	0.658	4.9
WM	2017-11-16	2018-04-02	0.85	0.832	2.2
HII	2017-11-16	2018-04-02	3.11	2.941	5.7
KIM	2017-11-16	2018-04-02	0.39	0.382	2.1
CBS	2017-11-16	2018-04-02	1.15	1.11	3.6
DLR	2017-11-16	2018-04-02	1.55	1.509	2.7
FLS	2017-11-16	2018-04-02	0.68	0.514	32.3
ED	2017-11-16	2018-04-02	0.8	0.774	3.4
ANDV	2017-11-16	2018-04-02	0.75	1.106	-32.2
IRM	2017-11-17	2018-04-03	0.53	0.58	-8.6
NWL	2017-11-17	2018-04-03	0.68	0.676	0.6
VFC	2017-11-17	2018-04-03	1.01	1.019	-0.9
KO	2017-11-17	2018-04-03	0.39	0.385	1.3
DTE	2017-11-17	2018-04-03	1.26	1.189	6
KHC	2017-11-17	2018-04-03	0.9	0.946	-4.9
AEE	2017-11-17	2018-04-03	0.39	0.357	9.2
VMC	2017-11-17	2018-04-03	0.74	0.744	-0.5
IPGP	2017-11-17	2018-04-03	1.87	1.733	7.8
MOS	2017-11-17	2018-04-03	0.34	0.279	21.9
ALLE	2017-11-20	2018-04-04	1.11	0.93	19.4
HSIC	2017-11-20	2018-04-04	0.97	0.971	-0.1
NI	2017-11-20	2018-04-04	0.33	0.322	2.5
DUK	2017-11-20	2018-04-04	0.94	0.92	2.2
NBL	2017-11-20	2018-04-04	0.32	0.039	720.5
MGM	2017-11-20	2018-04-04	0.11	0.087	24.5
EXPD	2017-11-20	2018-04-04	0.71	0.634	12.7
GPC	2017-11-20	2018-04-04	1.12	1.12	0
ECL	2017-11-20	2018-04-04	1.39	1.396	-0.4
EXR	2017-11-20	2018-04-04	1.12	1.084	3.3
VRSK	2017-11-20	2018-04-04	1.34	0.779	72
FLR	2017-11-20	2018-04-04	0.7	0.629	11.3
CXO	2017-11-20	2018-04-04	0.66	0.453	45.7
FE	2017-11-20	2018-04-04	0.71	0.683	4
AWK	2017-11-20	2018-04-04	0.69	0.663	4.1
NFX	2017-11-20	2018-04-04	0.71	0.623	14
DVN	2017-11-20	2018-04-04	0.38	0.624	-39.1
PSA	2017-11-20	2018-04-04	2.75	2.726	0.9
DISH	2017-11-21	2018-04-05	0.53	0.568	-6.5
AAP	2017-11-21	2018-04-05	0.77	0.634	21.5
SO	2017-11-21	2018-04-05	0.51	0.462	10.4
GRMN	2017-11-21	2018-04-05	0.79	0.755	4.6
SRCL	2017-11-21	2018-04-05	1	1.138	-12.1
O	2017-11-21	2018-04-05	0.61	0.621	-1.8
FTI	2017-11-21	2018-04-05	0.2	0.452	-55.8
ANSS	2017-11-21	2018-04-05	1.07	1.032	3.7
HST	2017-11-21	2018-04-05	0.42	0.393	6.9
CNP	2017-11-22	2018-04-06	0.33	0.298	9.7
PWR	2017-11-22	2018-04-06	0.45	0.441	2
NEM	2017-11-22	2018-04-06	0.4	0.37	8.1
LKQ	2017-11-22	2018-04-06	0.41	0.421	-2.6
